ID	Genus	Species	Family	Order	Sexe	Age	Habitat_5_classes	Habitat_code_5_classes	Habitat_3_classes	Habitat_code_3_classes	Prey_7_classes	Prey_code_7_classes	Prey_5_classes	Prey_code_5_classes	Feeding ref.	Ontogenetic shift
27102	Etmopterus	Etmopterus_spinax	Etmopteridae	Squaliformes	f	ad	bathydemersal	4	demersal	2	generalist	3	generalist	5	"Saldanha et al. 1995 (fish 0,25 %N, cephalopoda 0,125 %N, decapoda 0,25 %N, n=5);Cortes 1999 (fish 33,3%, zooplankton 23,8%, crustaceans 22,7%, cepholopods 19.7%, n=1461); Neiva et al. 2006 (zooplankton 37.44 %IRI, fish 36.61 %IRI, decapoda 17,97 %IRI, cephalopods 7.05 % IRI, n=180); Fanelli et al. 2009 (fish 39,2 %IRI, n=10); Valls et al. 2011 (cephalopoda 64.26 %IRI, fish 25.25 %IRI, n=46)"	
21558b	Etmopterus	Etmopterus_spinax	Etmopteridae	Squaliformes	f	ad	bathydemersal	4	demersal	2	generalist	3	generalist	5	"Saldanha et al. 1995 (fish 0,25 %N, cephalopoda 0,125 %N, decapoda 0,25 %N, n=5);Cortes 1999 (fish 33,3%, zooplankton 23,8%, crustaceans 22,7%, cepholopods 19.7%, n=1461); Neiva et al. 2006 (zooplankton 37.44 %IRI, fish 36.61 %IRI, decapoda 17,97 %IRI, cephalopods 7.05 % IRI, n=180); Fanelli et al. 2009 (fish 39,2 %IRI, n=10); Valls et al. 2011 (cephalopoda 64.26 %IRI, fish 25.25 %IRI, n=46)"	
24057a	Etmopterus	Etmopterus_spinax	Etmopteridae	Squaliformes	m	ad	bathydemersal	4	demersal	2	generalist	3	generalist	5	"Saldanha et al. 1995 (fish 0,25 %N, cephalopoda 0,125 %N, decapoda 0,25 %N, n=5);Cortes 1999 (fish 33,3%, zooplankton 23,8%, crustaceans 22,7%, cepholopods 19.7%, n=1461); Neiva et al. 2006 (zooplankton 37.44 %IRI, fish 36.61 %IRI, decapoda 17,97 %IRI, cephalopods 7.05 % IRI, n=180); Fanelli et al. 2009 (fish 39,2 %IRI, n=10); Valls et al. 2011 (cephalopoda 64.26 %IRI, fish 25.25 %IRI, n=46)"	
24057b	Etmopterus	Etmopterus_spinax	Etmopteridae	Squaliformes	m	ad	bathydemersal	4	demersal	2	generalist	3	generalist	5	"Saldanha et al. 1995 (fish 0,25 %N, cephalopoda 0,125 %N, decapoda 0,25 %N, n=5);Cortes 1999 (fish 33,3%, zooplankton 23,8%, crustaceans 22,7%, cepholopods 19.7%, n=1461); Neiva et al. 2006 (zooplankton 37.44 %IRI, fish 36.61 %IRI, decapoda 17,97 %IRI, cephalopods 7.05 % IRI, n=180); Fanelli et al. 2009 (fish 39,2 %IRI, n=10); Valls et al. 2011 (cephalopoda 64.26 %IRI, fish 25.25 %IRI, n=46)"	
7411	Eucrossorhinus	Eucrossorhinus_dasypogon	Orectolobidae	Orectolobiformes	f	ad	reef	1	reef	1	fish	1	fish_&_cephalopoda	1	Ebert et al. 2013 (fishes, probably invertebrates)	
35639	Euprotomicroides	Euprotomicroides_zantedeschia	Dalatiidae	Squaliformes	f	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
17804	Euprotomicrus	Euprotomicrus_bispinatus	Dalatiidae	Squaliformes	m	ad	pelagic	3	pelagic	3	generalist	3	fish_&_cephalopoda	1	Cortes 1999 (fish 44 %, cephalopods 40%, n=12)	
4204	Eusphyra	Eusphyra_blochii	Sphyrnidae	Carcharhiniformes	m	juv	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	Cortes 1999 (fish 82.9 %, chon 0.3%, n=287)	
MM E.blo	Eusphyra	Eusphyra_blochii	Sphyrnidae	Carcharhiniformes	NA	NA	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	Cortes 1999 (fish 82.9 %, chon 0.3%, n=287)	
ZMA108685	Eusphyra	Eusphyra_blochii	Sphyrnidae	Carcharhiniformes	m	NA	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	Cortes 1999 (fish 82.9 %, chon 0.3%, n=287)	
