state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
7880000	0.000	109.188	0.000	2	0	0.000	0.000	-0.040	116.48	-41.92	0.00	0.00
7890000	0.000	0.458	0.000	2	0	0.000	0.008	-0.005	118.87	-41.80	-0.00	0.00
7900000	0.000	0.002	0.000	2	0	0.000	0.003	-0.115	117.41	-41.80	0.00	-6.21
7910000	0.000	0.004	0.000	1	0	0.000	0.001	-0.044	123.09	-40.75	0.00	0.00
7920000	0.000	1.610	0.000	1	0	0.000	0.005	0.004	119.33	-40.75	0.00	-6.13
7930000	0.000	2.537	0.000	2	0	0.000	0.001	-0.050	117.91	-41.81	-0.01	0.00
7940000	0.000	0.456	0.000	2	0	0.000	0.003	-0.021	120.38	-41.80	0.00	-6.42
7950000	0.000	33.751	0.000	2	0	0.000	0.013	-0.017	113.82	-41.85	0.00	-0.49
7960000	0.000	18.000	0.000	3	0	0.000	0.001	0.062	118.49	-43.29	0.00	-0.04
7970000	0.000	3.187	0.000	2	0	0.000	0.001	0.041	118.79	-41.81	0.00	0.00
7980000	0.000	0.003	0.000	2	0	0.000	0.008	-0.019	120.45	-41.80	0.00	-6.68
7990000	0.000	1.663	0.000	1	0	0.000	0.001	0.072	118.49	-40.75	-0.00	-0.69
8000000	0.000	12.892	0.000	1	0	0.000	0.004	-0.085	116.52	-40.75	0.00	-6.12
8010000	0.000	265.076	0.000	1	0	0.000	0.004	-0.002	117.52	-40.93	-0.38	-0.69
8020000	0.000	12.111	0.000	3	0	0.000	0.005	-0.031	117.98	-43.28	0.00	-6.50
8030000	0.000	0.395	0.000	3	0	0.000	0.000	-0.003	121.88	-43.27	0.00	-6.26
8040000	0.000	0.851	0.000	3	0	0.000	0.004	-0.010	118.95	-43.27	-0.00	0.00
8050000	0.000	30.913	0.000	3	0	0.000	0.001	0.014	115.32	-43.32	-0.00	0.00
8060000	0.000	33.603	0.000	3	0	0.000	0.002	0.012	118.35	-43.31	-0.00	0.00
8070000	0.000	6.558	0.000	3	0	0.000	0.007	-0.024	115.68	-43.27	-0.00	0.00
8080000	0.000	0.103	0.000	2	0	0.000	0.002	-0.065	120.34	-41.80	-0.00	0.00
8090000	0.000	2.429	0.000	2	0	0.000	0.004	0.006	117.84	-41.81	0.00	0.00
8100000	0.000	3.166	0.000	2	0	0.000	0.005	0.037	117.66	-41.81	0.00	-6.35
8110000	0.000	3.872	0.000	2	0	0.000	0.004	-0.019	116.02	-41.81	0.00	0.00
